url,type,is_submodule,submodule_path,researched,notes
https://github.com/kukapay/freqtrade-mcp,github_repo,yes,external/financial/freqtrade-mcp,no,
https://github.com/kukapay/uniswap-poolspy-mcp,github_repo,yes,external/financial/uniswap-poolspy-mcp,no,
https://github.com/kukapay/uniswap-trader-mcp,github_repo,yes,external/financial/uniswap-trader-mcp,no,
https://github.com/langchain-ai/langmem,github_repo,yes,external/memory/langmem,no,
https://github.com/letta-ai/letta,github_repo,yes,external/memory/letta,no,
https://github.com/letta-ai/letta-code,github_repo,yes,external/memory/letta-code,no,
https://github.com/lifecontext/lifecontext,github_repo,yes,external/memory/lifecontext,no,
https://github.com/linggen/linggen,github_repo,yes,external/unsorted/linggen,no,
https://github.com/longmans/coin_api_mcp,github_repo,yes,external/financial/coin_api_mcp,no,
https://github.com/macc-n/wot-mcp,github_repo,yes,external/mcp-servers/wot-mcp,no,
https://github.com/macc-n/wot-mcp-cli,github_repo,yes,external/mcp-servers/wot-mcp-cli,no,
https://github.com/machjesusmoto/claude-lazy-loading,github_repo,yes,external/mcp-tooling/claude-lazy-loading,no,
https://github.com/madappgang/claude-code,github_repo,yes,external/clis/claude-code,no,
https://github.com/mamertofabian/mcp-everything-search,github_repo,yes,external/search/mcp-everything-search,no,
https://github.com/mcp,github_owner,no,,no,
https://github.com/medright/vectorize-ui,github_repo,yes,external/rag/vectorize-ui,no,
https://github.com/mem0ai/mem0,github_repo,yes,external/memory/mem0,no,
https://github.com/memetus/okx-mcp-playground,github_repo,yes,external/financial/okx-mcp-playground,no,
https://github.com/memmachine/memmachine,github_repo,yes,external/memory/MemMachine,no,
https://github.com/memorilabs/memori,github_repo,yes,external/memory/Memori,no,
https://github.com/micl2e2/code-to-tree,github_repo,yes,external/code-indexing/code-to-tree,no,
https://github.com/microsoft/fara,github_repo,yes,external/computer-use/fara,no,
https://github.com/microsoft/magentic-ui,github_repo,yes,external/computer-use/magentic-ui,no,
https://github.com/microsoft/mcp-gateway,github_repo,yes,external/mcp-tooling/mcp-gateway,no,
https://github.com/milisp/mcp-linker,github_repo,yes,external/mcp-tooling/mcp-linker,no,
https://github.com/milisp/opencode-gui,github_repo,yes,external/clis/opencode-gui,no,
https://github.com/mindsdb/mindsdb,github_repo,yes,external/rag/mindsdb,no,
https://github.com/mkerix/toolscript,github_repo,yes,external/mcp-tooling/toolscript,no,
https://github.com/mnehmos/mcp-ooda-computer,github_repo,no,,no,repo exists but clone currently failing; retry later
https://github.com/moazbuilds/codemachine-cli,github_repo,yes,external/clis/CodeMachine-CLI,no,
https://github.com/modelcontextprotocol/servers,github_repo,yes,external/memory/servers,no,
https://github.com/mokszr/bilgecan,github_repo,yes,external/mcp-servers/bilgecan,no,
https://github.com/moonshotai/kimi-cli,github_repo,yes,external/clis/kimi-cli,no,
https://github.com/mrbaeksang/korea-stock-analyzer-mcp,github_repo,yes,external/financial/korea-stock-analyzer-mcp,no,
https://github.com/mrkrsl/web-search-mcp,github_repo,yes,external/search/web-search-mcp,no,
https://github.com/musistudio/claude-code-router,github_repo,yes,external/clis/claude-code-router,no,
https://github.com/mutable-state-inc/ensue-skill,github_repo,yes,skills/external/ensue-skill,no,
https://github.com/muvon/octocode,github_repo,yes,external/code-indexing/octocode,no,
https://github.com/mzafarm/mzafarm,github_repo,yes,external/mcp-servers/MZaFaRM,no,
https://github.com/neuml/txtai,github_repo,yes,external/memory/txtai,no,
https://github.com/neuralnomadsai/codenomad,github_repo,yes,external/clis/CodeNomad,no,
https://github.com/nullplatform/meta-mcp-proxy,github_repo,yes,external/mcp-tooling/meta-mcp-proxy,no,
https://github.com/octagonai/octagon-13f-holdings-mcp,github_repo,yes,external/financial/octagon-13f-holdings-mcp,no,
https://github.com/octagonai/octagon-financials-mcp,github_repo,yes,external/financial/octagon-financials-mcp,no,
https://github.com/octagonai/octagon-funding-data-mcp,github_repo,yes,external/financial/octagon-funding-data-mcp,no,
https://github.com/octagonai/octagon-investors-mcp,github_repo,yes,external/financial/octagon-investors-mcp,no,
https://github.com/octagonai/octagon-mcp-server,github_repo,yes,external/financial/octagon-mcp-server,no,
https://github.com/octagonai/octagon-private-companies-mcp,github_repo,yes,external/financial/octagon-private-companies-mcp,no,
https://github.com/octagonai/octagon-sec-filings-mcp,github_repo,yes,external/financial/octagon-sec-filings-mcp,no,
https://github.com/octagonai/octagon-stock-market-data-mcp,github_repo,yes,external/financial/octagon-stock-market-data-mcp,no,
